"filename", "language", "TypeScript", "Markdown", "YAML", "JSON", "MS SQL", "JavaScript", "Docker", "Ignore", "JSON with Comments", "Shell Script", "HTML", "TypeScript JSX", "CSS", "XML", "vue", "NGINX Conf", "comment", "blank", "total"
"/home/orinda/projects/my-app/.github/workflows/npm-gulp.yml", "YAML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/home/orinda/projects/my-app/.idea/git_toolbox_blame.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/orinda/projects/my-app/.idea/inspectionProfiles/Project_Default.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/orinda/projects/my-app/.idea/jsLibraryMappings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/orinda/projects/my-app/.idea/modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"/home/orinda/projects/my-app/.idea/my-app.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"/home/orinda/projects/my-app/.idea/prettier.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/orinda/projects/my-app/.idea/runConfigurations/dev_web.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"/home/orinda/projects/my-app/.idea/vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/orinda/projects/my-app/README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/orinda/projects/my-app/base-paths.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/orinda/projects/my-app/deploy/admin/docker-compose-admin.yml", "YAML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/orinda/projects/my-app/deploy/backend/docker-compose-backend.yml", "YAML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/home/orinda/projects/my-app/deploy/web/docker-compose-web.yml", "YAML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/orinda/projects/my-app/gulpfile.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"/home/orinda/projects/my-app/package.json", "JSON", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"/home/orinda/projects/my-app/packages/admin/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/orinda/projects/my-app/packages/admin/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 30
"/home/orinda/projects/my-app/packages/admin/README.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"/home/orinda/projects/my-app/packages/admin/components.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/home/orinda/projects/my-app/packages/admin/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/home/orinda/projects/my-app/packages/admin/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/home/orinda/projects/my-app/packages/admin/nginx/nginx.conf", "NGINX Conf", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 2, 12
"/home/orinda/projects/my-app/packages/admin/package.json", "JSON", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/home/orinda/projects/my-app/packages/admin/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/orinda/projects/my-app/packages/admin/public/logo-001.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/orinda/projects/my-app/packages/admin/public/logo-003.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/orinda/projects/my-app/packages/admin/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/orinda/projects/my-app/packages/admin/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/orinda/projects/my-app/packages/admin/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/orinda/projects/my-app/packages/admin/src/components/dashboard/dashboard-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 2, 19
"/home/orinda/projects/my-app/packages/admin/src/components/dashboard/dashboard-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 3, 11, 199
"/home/orinda/projects/my-app/packages/admin/src/components/header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 2, 45
"/home/orinda/projects/my-app/packages/admin/src/components/home-banner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"/home/orinda/projects/my-app/packages/admin/src/components/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 12, 6, 59
"/home/orinda/projects/my-app/packages/admin/src/components/max-width.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/home/orinda/projects/my-app/packages/admin/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"/home/orinda/projects/my-app/packages/admin/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 9, 77
"/home/orinda/projects/my-app/packages/admin/src/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/home/orinda/projects/my-app/packages/admin/src/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 25, 177
"/home/orinda/projects/my-app/packages/admin/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"/home/orinda/projects/my-app/packages/admin/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/home/orinda/projects/my-app/packages/admin/src/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 13, 158
"/home/orinda/projects/my-app/packages/admin/src/context/actions/auth-actions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"/home/orinda/projects/my-app/packages/admin/src/context/actions/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/home/orinda/projects/my-app/packages/admin/src/context/actions/theme-actions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"/home/orinda/projects/my-app/packages/admin/src/context/auth-theme-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 12, 80
"/home/orinda/projects/my-app/packages/admin/src/context/reducers/auth-reducer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"/home/orinda/projects/my-app/packages/admin/src/context/reducers/theme-reducer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/orinda/projects/my-app/packages/admin/src/hooks/use-auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 3, 11, 62
"/home/orinda/projects/my-app/packages/admin/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 4, 76
"/home/orinda/projects/my-app/packages/admin/src/layout/context-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/orinda/projects/my-app/packages/admin/src/layout/dashboard-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/home/orinda/projects/my-app/packages/admin/src/layout/non-auth-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 4, 21
"/home/orinda/projects/my-app/packages/admin/src/layout/protected-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 2, 20
"/home/orinda/projects/my-app/packages/admin/src/lib/toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 3, 26
"/home/orinda/projects/my-app/packages/admin/src/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/orinda/projects/my-app/packages/admin/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/home/orinda/projects/my-app/packages/admin/src/pages/dashboard/dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/orinda/projects/my-app/packages/admin/src/pages/errors/base-error-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 6, 6, 79
"/home/orinda/projects/my-app/packages/admin/src/pages/errors/not-found-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 5, 6, 53
"/home/orinda/projects/my-app/packages/admin/src/pages/errors/unauthorized-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 6, 6, 70
"/home/orinda/projects/my-app/packages/admin/src/pages/homepage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/home/orinda/projects/my-app/packages/admin/src/pages/login-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 2, 8, 177
"/home/orinda/projects/my-app/packages/admin/src/pages/logout-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/home/orinda/projects/my-app/packages/admin/src/pages/register-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 0, 3, 207
"/home/orinda/projects/my-app/packages/admin/src/router/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 3, 26
"/home/orinda/projects/my-app/packages/admin/src/router/open-auth.routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"/home/orinda/projects/my-app/packages/admin/src/router/protected-auth.routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 5, 43
"/home/orinda/projects/my-app/packages/admin/src/types/login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"/home/orinda/projects/my-app/packages/admin/src/types/state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"/home/orinda/projects/my-app/packages/admin/src/utils/api-client/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"/home/orinda/projects/my-app/packages/admin/src/utils/crypto.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 11, 29, 181
"/home/orinda/projects/my-app/packages/admin/src/utils/schema/login.schema.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"/home/orinda/projects/my-app/packages/admin/src/utils/schema/register-schema.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/home/orinda/projects/my-app/packages/admin/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/orinda/projects/my-app/packages/admin/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 61
"/home/orinda/projects/my-app/packages/admin/tsconfig.app.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"/home/orinda/projects/my-app/packages/admin/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/orinda/projects/my-app/packages/admin/tsconfig.node.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/home/orinda/projects/my-app/packages/admin/vite.config.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"/home/orinda/projects/my-app/packages/backend/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/orinda/projects/my-app/packages/backend/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/orinda/projects/my-app/packages/backend/.prettierrc.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/orinda/projects/my-app/packages/backend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 46
"/home/orinda/projects/my-app/packages/backend/README.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 53
"/home/orinda/projects/my-app/packages/backend/drizzle.config.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/home/orinda/projects/my-app/packages/backend/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 71
"/home/orinda/projects/my-app/packages/backend/nodemon.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"/home/orinda/projects/my-app/packages/backend/package.json", "JSON", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"/home/orinda/projects/my-app/packages/backend/paths.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/orinda/projects/my-app/packages/backend/scripts/run.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/controllers/login.controller.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/controllers/logout.controller.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/controllers/register.controller.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/controllers/session.controller.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/controllers/set-current-organization.controller.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/entities/login-entity.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/index.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/schema/schema.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 72
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/services/login.service.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 104
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/services/register.service.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 74
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/services/set-current-organization.service.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/utils/get-client-ip.test.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/utils/get-client-ip.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/orinda/projects/my-app/packages/backend/src/api/client/auth/utils/module-permission-setup.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 11, 68
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-roles/controllers/create-department-role.controller.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-roles/index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-roles/schema/schema.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-roles/services/add-department-role.service.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 98
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-title/controllers/create-department.controller.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-title/controllers/fetch-departments.controller.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-title/controllers/update-department-title.controller.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-title/index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-title/schema/schema.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 70
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-title/services/create-department-title.service.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-title/services/fetch-department-title.service.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/home/orinda/projects/my-app/packages/backend/src/api/client/department-title/services/update-department.service.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"/home/orinda/projects/my-app/packages/backend/src/api/client/department/controllers/create-department.controller.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/home/orinda/projects/my-app/packages/backend/src/api/client/department/controllers/fetch-departments.controller.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/home/orinda/projects/my-app/packages/backend/src/api/client/department/controllers/update-department.controller.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/home/orinda/projects/my-app/packages/backend/src/api/client/department/index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/home/orinda/projects/my-app/packages/backend/src/api/client/department/schema/schema.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 68
"/home/orinda/projects/my-app/packages/backend/src/api/client/department/services/create-department.service.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/home/orinda/projects/my-app/packages/backend/src/api/client/department/services/get-department.service.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/home/orinda/projects/my-app/packages/backend/src/api/client/department/services/update-department.service.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"/home/orinda/projects/my-app/packages/backend/src/api/client/organization-designations/controllers/create-organization-designation.controller.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
